created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
"Thu Aug 31 23:38:05 +0000 2023;1697393350050267585;""@Kangabdullah3 @AgendaPurworejo @BOBorobudur @Dwi_retnawati @ganjarpranowo @KemiriUpdate @ParKrafJateng @pututabs @warga_purworejo @widpwd @Sinoeng69 Mangga @Kangabdullah3 mbenjang Setu ngAhad..   #GumregahSembir https://t.co/oHnxS9OncF"";0;0;0;1;in;1678674801978900481;1690208320538411008;ILOILOCAFEMEDIA;https://twitter.com/ILOILOCAFEMEDIA/status/1697393350050267585",,,,
"Thu Aug 31 23:37:28 +0000 2023;1697393197281157385;""@Dew0W1snu @ganjarpranowo Terima kasih karya nyatanya dalam membangun Jateng selama dasa warsa dan kini kami mendukungmu menuju RI 1 di 2024"";0;0;1;1;in;1375462822285516820;1697388668586267042;B1nt4ng_K1r4r4;https://twitter.com/B1nt4ng_K1r4r4/status/1697393197281157385",,,,
"Thu Aug 31 23:37:22 +0000 2023;1697393171767157053;""@yaniarsim @ganjarpranowo @prabowo Bung fals akhirnya melek"";0;0;0;0;in;784760219150626820;1697018332875248060;mr_pahlewa;https://twitter.com/mr_pahlewa/status/1697393171767157053",,,,
"Thu Aug 31 23:37:12 +0000 2023;1697393128628728042;""@ajengcute16__ Saya Setuju Pak Anis dan Cak Imin",,,,
"Thu Aug 31 23:36:54 +0000 2023;1697393052544069879;""Bakal Cawapres untuk Ganjar Pranowo Segera Ditentukan",,,,
"Thu Aug 31 23:36:44 +0000 2023;1697393011607392628;""@ch_chotimah2 @ganjarpranowo Tag @wargajateng hahahaha Framing doang aslinya ancur Jateng"";0;0;0;0;in;1319524618718171136;1697084518421909556;Bella17751025;https://twitter.com/Bella17751025/status/1697393011607392628",,,,
"Thu Aug 31 23:34:50 +0000 2023;1697392532290933196;""@KerjaBrngGanjar @ganjarpranowo Siap dukung uda Ganjar pada pilpres 2024🤟 #GanjarPranowo #GanjarUntukSemua"";0;0;0;0;in;477423076;1697266085794595155;firdasirait;https://twitter.com/firdasirait/status/1697392532290933196",,,,
"Thu Aug 31 23:32:56 +0000 2023;1697392054794674311;""Ganjar Pranowo semakin meyakinkan tidak didukung kekuatan oligarki tetapi didukung rakyat #GanjarPilihanRakyat https://t.co/tk9oTfDQqK"";0;0;0;0;in;1614707974571974656;1697392031319179452;newspolitical1;https://twitter.com/newspolitical1/status/1697392054794674311",,,,
"Thu Aug 31 23:32:53 +0000 2023;1697392042224263499;""Ganjar Pranowo akan terus maju bersama rakyat #GanjarPilihanRakyat https://t.co/Bo85XQefne"";0;1;0;0;in;1614707974571974656;1697392031319179452;newspolitical1;https://twitter.com/newspolitical1/status/1697392042224263499",,,,
"Thu Aug 31 23:32:50 +0000 2023;1697392031319179452;""Pak Ganjar Pranowo sangat merakyat sejak dulu #GanjarPilihanRakyat https://t.co/TaKQJIn66N"";0;1;0;0;in;1614707974571974656;1697392031319179452;newspolitical1;https://twitter.com/newspolitical1/status/1697392031319179452",,,,
"Thu Aug 31 23:32:33 +0000 2023;1697391956824109288;""PPP Bakal Ajak Demokrat-PKS Masuk Koalisi Ganjar Pranowo Usai Mencuatnya Isu Duet Anies Baswedan-Cak Imin https://t.co/xZ5sAM8WTj"";0;1;0;0;in;58880688;1697391956824109288;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1697391956824109288",,,,
"Thu Aug 31 23:32:32 +0000 2023;1697391953925787947;""@ch_chotimah2 @ganjarpranowo Dinegara lain paspanpresnya bertugas memastikan keselamatan kepala negara. Disini paspanpres jadi kuli angkut kantong sembako. Silap² jadi....."";0;0;0;0;in;1685064159401312256;1697088755205881940;wanaf439960;https://twitter.com/wanaf439960/status/1697391953925787947",,,,
"Thu Aug 31 23:32:11 +0000 2023;1697391867623551088;""@ch_chotimah2 @ganjarpranowo Pak Ganjar RI 1"";0;0;0;0;in;1412224394131218438;1697128992225280082;SunHok19;https://twitter.com/SunHok19/status/1697391867623551088",,,,
"Thu Aug 31 23:31:06 +0000 2023;1697391592062239128;""Gubernur Jateng @ganjarpranowo bangun 18 sekolah Asrama gratis utk meningkatkan SDM lewat pendidikan sehingga angka kemiskinan bisa diturunkan  Ganjar Pranowo bnr2 peduli pd masa depan generasi muda  Dg menyiapkan SDM yg mumpuni https://t.co/pFdU5nlccV"";0;2;18;31;in;1248538148990152704;1697391592062239128;Ghurem2;https://twitter.com/Ghurem2/status/1697391592062239128",,,,
"Thu Aug 31 23:30:26 +0000 2023;1697391426932494742;""@KerjaBrngGanjar @ganjarpranowo Yok bisa yok 2024 menang🤟 #GanjarPranowo #GanjarUntukSemua"";0;0;0;0;in;477423076;1697266002571227560;firdasirait;https://twitter.com/firdasirait/status/1697391426932494742",,,,
"Thu Aug 31 23:30:26 +0000 2023;1697391426538267028;""@ch_chotimah2 @ganjarpranowo Dan...... Bagi bagi sembako jg lempar lempar kaos?"";0;0;0;1;in;1661041817138368512;1697088755205881940;amelcewaw36645;https://twitter.com/amelcewaw36645/status/1697391426538267028",,,,
"Thu Aug 31 23:30:19 +0000 2023;1697391397228425617;""@GunRomli @jokowi @ganjarpranowo Proyek mobil esemka jilid 2 yang bisa mengantarkan belio ke sekjen PBB."";0;0;0;0;in;1608346153204191232;1697056407722594691;JMumeti;https://twitter.com/JMumeti/status/1697391397228425617",,,,
